analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,C#CCC[*:1]>>CC#CC[*:1],14,10-19,0.6901955049817389,1,-0.03323800753430433,1,0.7234335125160432,1
alignment_all,graph_256,C#CCC[*:1]>>CC(C)(C)C[*:1],3,2-4,0.9442557333582554,1,-0.4481505160578637,1,1.3924062494161191,1
alignment_all,graph_256,C#CCC[*:1]>>CC(C)CC[*:1],5,5-9,0.8727646908108667,3,-0.0360702309852765,3,0.9088349217961431,3
alignment_all,graph_256,C#CCC[*:1]>>CC(C)C[*:1],6,5-9,0.9336176872356298,3,0.017360899024321304,3,0.9162567882113085,3
alignment_all,graph_256,C#CCC[*:1]>>CC(C)[*:1],2,2-4,0.8512678738005519,2,-0.019951712792430222,2,0.871219586592982,2
alignment_all,graph_256,C#CCC[*:1]>>CC(O)C[*:1],5,5-9,0.9216334693796607,2,-0.039929930965977314,2,0.9615634003456381,2
alignment_all,graph_256,C#CCC[*:1]>>CCC(C)C[*:1],3,2-4,0.9627692171269007,1,0.12420186952008702,1,0.8385673476068136,1
alignment_all,graph_256,C#CCC[*:1]>>CCC(C)[*:1],5,5-9,0.8846953801666212,2,-0.20327244503161285,2,1.087967825198234,2
alignment_all,graph_256,C#CCC[*:1]>>CCC(O)(CC)[*:1],2,2-4,0.8317043072701329,1,0.0963700010289505,1,0.7353343062411823,1
alignment_all,graph_256,C#CCC[*:1]>>CCCOC[*:1],2,2-4,0.841806016651258,1,0.13861683637968025,1,0.7031891802715777,1
alignment_all,graph_256,C#CCC[*:1]>>CC[*:1],7,5-9,0.9078497783587064,3,0.07821615195601532,3,0.8296336264026912,3
alignment_all,graph_256,C#CCC[*:1]>>CN(C)C(=O)[*:1],2,2-4,0.6854648219577741,1,-0.4931698703257494,1,1.1786346922835236,1
alignment_all,graph_256,C#CCC[*:1]>>CN(C)C[*:1],2,2-4,0.8265960066696256,1,-0.23698557624118521,1,1.0635815829108108,1
alignment_all,graph_256,C#CCC[*:1]>>CNC(=O)C(C)[*:1],2,2-4,0.9217934975071094,1,0.027715927617127274,1,0.8940775698899821,1
