analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
retrieval_mmp_direction,10,407,915,exact_requested_transform,hybrid_w1,0.9709254709254709,0.9565929565929567,0.984029484029484,
retrieval_mmp_direction,10,407,915,exact_requested_transform,released_hybrid_w3,0.9742014742014741,0.9615069615069616,0.986076986076986,
retrieval_mmp_direction,10,407,915,exact_requested_transform,hybrid_w6,0.9647829647829649,0.9496314496314496,0.979115479115479,
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,graph_256,0.697538996204238,0.687895329869739,0.7069431123915093,
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,mean_node_128,0.7051893154144349,0.6970350317661625,0.7136212412352186,
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,hybrid_w1,0.7051595301228849,0.6969392455358246,0.71354857273575,
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,released_hybrid_w3,0.7063706242597456,0.6984272783888893,0.7145568726848391,
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,hybrid_w6,0.7051477948806288,0.6969271760057725,0.713895210405842,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,graph_256,0.9480676328502416,0.9154589371980675,0.9758454106280194,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,mean_node_128,0.9746376811594201,0.9516908212560385,0.9927536231884058,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,hybrid_w1,0.9722222222222221,0.9456521739130435,0.9927838164251208,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,released_hybrid_w3,0.9794685990338166,0.9589070048309177,0.995169082125604,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,hybrid_w6,0.9770531400966183,0.9553140096618357,0.9939613526570049,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,graph_256,0.9867149758454108,0.9673611111111111,1.0,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,mean_node_128,1.0,1.0,1.0,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,hybrid_w1,0.9891304347826086,0.9710144927536232,1.0,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,released_hybrid_w3,1.0,1.0,1.0,
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,hybrid_w6,1.0,1.0,1.0,
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,graph_256,0.964331723027375,0.9390841384863123,0.9851046698872786,
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,mean_node_128,0.9851046698872786,0.9710144927536234,0.99597423510467,
