strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
sample_t100_p098,250,acyclic_non_mmp,63,0.47363643466480193,0.11249733228130478,0.35087719559669495,0.3684210479259491,0.3952455669641495,0.4545454680919647,0.5185185074806213,0.5686274766921997,0.8837209343910217
sample_t100_p098,500,all_genuine_nonseed,7569,0.45740394541433393,0.14379588657051742,0.11999999731779099,0.28999999165534973,0.350649356842041,0.4367816150188446,0.5454545617103577,0.6612903475761414,1.0
sample_t100_p098,500,one_cut_mmp_derivative,182,0.7116276823229842,0.08173525616521626,0.45614033937454224,0.6207118690013885,0.6734693646430969,0.7071078419685364,0.7528846263885498,0.8269230723381042,0.9215686321258545
sample_t100_p098,500,same_scaffold_non_mmp,433,0.6243247601782201,0.14904939701975253,0.2857142984867096,0.42080246210098265,0.5319148898124695,0.6290322542190552,0.7209302186965942,0.8303642272949219,1.0
sample_t100_p098,500,scaffold_changing,6871,0.4399382685362781,0.13150898112728834,0.11999999731779099,0.28409090638160706,0.34375,0.42222222685813904,0.5202739536762238,0.6164383292198181,1.0
sample_t100_p098,500,acyclic_non_mmp,83,0.4750091613057148,0.10570828149936172,0.35087719559669495,0.3684210479259491,0.3965517282485962,0.4545454680919647,0.5332244038581848,0.5903212308883666,0.8837209343910217
sample_t100_p098,1000,all_genuine_nonseed,11510,0.43735938100233274,0.13696958777594903,0.11999999731779099,0.27835050225257874,0.33707866072654724,0.4156573712825775,0.517241358757019,0.6279734253883364,1.0
sample_t100_p098,1000,one_cut_mmp_derivative,200,0.7133461470901966,0.08934350021898459,0.45614033937454224,0.617147958278656,0.6727272868156433,0.7071078419685364,0.7568532973527908,0.8308061838150024,1.0
sample_t100_p098,1000,same_scaffold_non_mmp,519,0.612098879265188,0.15176726637593038,0.2708333432674408,0.3971351385116577,0.5149553716182709,0.6202531456947327,0.7047930359840393,0.8199999809265136,1.0
sample_t100_p098,1000,scaffold_changing,10676,0.4229867067369474,0.12500850634451904,0.11999999731779099,0.2743362784385681,0.3333333432674408,0.4065934121608734,0.5,0.5886382162570953,1.0
sample_t100_p098,1000,acyclic_non_mmp,115,0.5030595344045888,0.1254682597006168,0.35087719559669495,0.3684210479259491,0.4107142984867096,0.4716981053352356,0.5686274766921997,0.7021276354789734,0.8837209343910217
sample_t120_p0995,50,all_genuine_nonseed,2464,0.5270939535074323,0.16188490955037543,0.12903225421905518,0.3259159862995148,0.4000000059604645,0.5142857432365417,0.6499999761581421,0.745670258998871,1.0
sample_t120_p0995,50,one_cut_mmp_derivative,154,0.7236972666018969,0.0840223695971748,0.47058823704719543,0.6279069781303406,0.682539701461792,0.7204861044883728,0.7672991007566452,0.8399999737739563,0.9777777791023254
sample_t120_p0995,50,same_scaffold_non_mmp,292,0.6585238641255522,0.13791618631526545,0.30612245202064514,0.48874122798442843,0.5686495751142502,0.6518445312976837,0.7428152561187744,0.8518518805503845,1.0
sample_t120_p0995,50,scaffold_changing,1972,0.49384718921043086,0.14923787051525614,0.12903225421905518,0.3115106523036957,0.3816017284989357,0.4780193269252777,0.5909090638160706,0.6983827650547028,0.949999988079071
